Fecha de reporte ,Sexo,Grupo de Edad,Nacionalidad,Fecha de desaparicion,Entidad de desaparicion,Municipio/Alcadia de la desaparicion,Estatus,Fecha de localizacion,Entidad de la localizacion
15/05/2020,HOMBRE,60-64 AÑOS,MEXICANA,23/04/2020,CIUDAD DE MEXICO,TLALPAN,LOCALIZADO(A),03/05/2020,S/D
15/05/2020,HOMBRE,45-49 AÑOS,MEXICANA,27/04/2020,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),28/04/2020,S/D
15/05/2020,HOMBRE,45-49 AÑOS,MEXICANA,05/04/2020,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),20/04/2020,S/D
15/05/2020,HOMBRE,51-54 AÑOS,MEXICANA,11/04/2020,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),17/08/2022,S/D
15/05/2020,MUJER,20-24 AÑOS,MEXICANA,10/04/2020,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),12/04/2020,CIUDAD DE MEXICO
15/05/2020,HOMBRE,55-59 AÑOS,MEXICANA,03/04/2020,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),13/04/2020,S/D
15/05/2020,MUJER,70 AÑOS O MAS,MEXICANA,04/04/2020,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),12/04/2020,CIUDAD DE MEXICO
15/05/2020,HOMBRE,51-54 AÑOS,MEXICANA,04/04/2020,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),07/04/2020,CIUDAD DE MEXICO
15/05/2020,MUJER,40-44 AÑOS,MEXICANA,04/04/2020,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),13/04/2020,CIUDAD DE MEXICO
15/05/2020,HOMBRE,55-59 AÑOS,MEXICANA,15/05/2020,CIUDAD DE MEXICO,TLALPAN,DESAPARECIDO(A),,
15/05/2020,HOMBRE,20-24 AÑOS,MEXICANA,03/04/2020,S/D,S/D,LOCALIZADO(A),05/04/2020,ESTADO DE MEXICO
14/05/2020,HOMBRE,40-44 AÑOS,MEXICANA,09/05/2020,CIUDAD DE MEXICO,XOCHIMILCO,DESAPARECIDO(A),,
14/05/2020,HOMBRE,60-64 AÑOS,MEXICANA,09/05/2020,S/D,S/D,LOCALIZADO(A),20/05/2020,CIUDAD DE MEXICO
14/05/2020,MUJER,20-24 AÑOS,MEXICANA,27/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),30/04/2020,CIUDAD DE MEXICO
14/05/2020,MUJER,18-19 AÑOS,MEXICANA,08/05/2020,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
14/05/2020,MUJER,45-49 AÑOS,MEXICANA,06/05/2020,ESTADO DE MEXICO,LA PAZ,LOCALIZADO(A),06/05/2020,ESTADO DE MEXICO
14/05/2020,MUJER,55-59 AÑOS,MEXICANA,01/05/2020,ESTADO DE MEXICO,CHALCO,DESAPARECIDO(A),,
14/05/2020,MUJER,25-29 AÑOS,MEXICANA,02/05/2020,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
13/05/2020,HOMBRE,70 AÑOS O MAS,MEXICANA,27/04/2020,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),01/12/2022,CIUDAD DE MEXICO
13/05/2020,HOMBRE,15-17 AÑOS,MEXICANA,28/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),29/04/2020,CIUDAD DE MEXICO
13/05/2020,HOMBRE,60-64 AÑOS,MEXICANA,09/04/2020,ESTADO DE MEXICO,NAUCALPAN DE JUAREZ,LOCALIZADO(A),03/05/2020,S/D
13/05/2020,MUJER,60-64 AÑOS,EXTRANJERA,14/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),26/04/2020,CIUDAD DE MEXICO
13/05/2020,HOMBRE,15-17 AÑOS,MEXICANA,19/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),20/04/2020,CIUDAD DE MEXICO
13/05/2020,MUJER,25-29 AÑOS,MEXICANA,19/04/2020,S/D,S/D,LOCALIZADO(A),19/04/2020,S/D
13/05/2020,MUJER,15-17 AÑOS,MEXICANA,17/04/2020,S/D,S/D,LOCALIZADO(A),20/04/2020,S/D
13/05/2020,HOMBRE,51-54 AÑOS,MEXICANA,03/04/2020,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),27/04/2020,S/D
13/05/2020,HOMBRE,35-39 AÑOS,MEXICANA,27/03/2020,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),22/04/2020,ESTADO DE MEXICO
13/05/2020,HOMBRE,30-34 AÑOS,MEXICANA,15/04/2020,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),17/04/2020,S/D
11/05/2020,MUJER,10-14 AÑOS,MEXICANA,29/04/2020,CIUDAD DE MEXICO,BENITO JUAREZ,DESAPARECIDO(A),,
10/05/2020,MUJER,35-39 AÑOS,MEXICANA,10/05/2020,S/D,S/D,LOCALIZADO(A),16/05/2020,S/D
10/05/2020,MUJER,20-24 AÑOS,MEXICANA,03/04/2020,CIUDAD DE MEXICO,TLAHUAC,DESAPARECIDO(A),,
10/05/2020,HOMBRE,18-19 AÑOS,MEXICANA,01/04/2020,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),02/04/2020,S/D
10/05/2020,HOMBRE,35-39 AÑOS,MEXICANA,10/05/2020,CIUDAD DE MEXICO,COYOACAN,DESAPARECIDO(A),,
10/05/2020,HOMBRE,40-44 AÑOS,MEXICANA,01/04/2020,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),06/04/2020,CIUDAD DE MEXICO
10/05/2020,HOMBRE,45-49 AÑOS,EXTRANJERA,15/12/2019,CIUDAD DE MEXICO,S/D,DESAPARECIDO(A),,
10/05/2020,HOMBRE,35-39 AÑOS,MEXICANA,10/05/2020,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),27/05/2020,S/D
09/05/2020,MUJER,65-69 AÑOS,MEXICANA,27/04/2020,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),21/05/2020,S/D
09/05/2020,MUJER,18-19 AÑOS,MEXICANA,08/05/2020,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),09/05/2020,S/D
08/05/2020,MUJER,70 AÑOS O MAS,MEXICANA,08/05/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),11/08/2022,S/D
08/05/2020,MUJER,25-29 AÑOS,MEXICANA,01/01/2020,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),23/11/2022,CIUDAD DE MEXICO
08/05/2020,MUJER,35-39 AÑOS,S/D,27/11/2019,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
08/05/2020,MUJER,35-39 AÑOS,S/D,02/11/2019,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),13/12/2020,S/D
08/05/2020,MUJER,18-19 AÑOS,S/D,06/03/1993,CIUDAD DE MEXICO,COYOACAN,DESAPARECIDO(A),,
08/05/2020,MUJER,25-29 AÑOS,MEXICANA,15/06/2017,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
08/05/2020,HOMBRE,20-24 AÑOS,MEXICANA,23/04/2020,ESTADO DE MEXICO,ZUMPANGO,LOCALIZADO(A),11/08/2022,S/D
08/05/2020,HOMBRE,70 AÑOS O MAS,MEXICANA,04/05/2020,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),08/05/2020,S/D
08/05/2020,MUJER,05-09 AÑOS,MEXICANA,11/02/2020,CIUDAD DE MEXICO,XOCHIMILCO,LOCALIZADO(A),16/02/2020,CIUDAD DE MEXICO
08/05/2020,MUJER,15-17 AÑOS,MEXICANA,03/04/2020,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),07/04/2020,S/D
07/05/2020,MUJER,65-69 AÑOS,MEXICANA,06/05/2020,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),07/05/2020,S/D
06/05/2020,HOMBRE,70 AÑOS O MAS,MEXICANA,04/05/2020,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),10/05/2020,S/D
04/05/2020,HOMBRE,45-49 AÑOS,MEXICANA,04/05/2020,CIUDAD DE MEXICO,BENITO JUAREZ,LOCALIZADO(A),10/08/2022,S/D
04/05/2020,HOMBRE,35-39 AÑOS,MEXICANA,12/08/2018,CIUDAD DE MEXICO,IZTAPALAPA,DESAPARECIDO(A),,
03/05/2020,HOMBRE,45-49 AÑOS,MEXICANA,03/05/2020,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),03/05/2020,S/D
02/05/2020,HOMBRE,20-24 AÑOS,MEXICANA,28/04/2020,CIUDAD DE MEXICO,VENUSTIANO CARRANZA,LOCALIZADO(A),02/05/2020,S/D
02/05/2020,HOMBRE,55-59 AÑOS,MEXICANA,01/05/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),02/05/2020,S/D
01/05/2020,HOMBRE,60-64 AÑOS,MEXICANA,30/04/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),01/05/2020,S/D
01/05/2020,HOMBRE,00-04 AÑOS,MEXICANA,04/03/2020,CIUDAD DE MEXICO,TLAHUAC,LOCALIZADO(A),03/05/2020,S/D
01/05/2020,MUJER,15-17 AÑOS,MEXICANA,01/03/2020,CIUDAD DE MEXICO,IZTAPALAPA,LOCALIZADO(A),26/05/2020,S/D
01/05/2020,HOMBRE,30-34 AÑOS,MEXICANA,08/04/2020,CIUDAD DE MEXICO,CUAUHTEMOC,DESAPARECIDO(A),,
01/05/2020,MUJER,35-39 AÑOS,MEXICANA,16/04/2020,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),06/05/2020,S/D
01/05/2020,MUJER,00-04 AÑOS,MEXICANA,25/04/2020,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),01/05/2020,S/D
01/05/2020,MUJER,20-24 AÑOS,MEXICANA,25/04/2020,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),01/05/2020,CIUDAD DE MEXICO
30/04/2020,HOMBRE,20-24 AÑOS,MEXICANA,21/04/2020,CIUDAD DE MEXICO,ALVARO OBREGON,LOCALIZADO(A),01/05/2020,CIUDAD DE MEXICO
29/04/2020,MUJER,05-09 AÑOS,MEXICANA,26/04/2020,CIUDAD DE MEXICO,COYOACAN,LOCALIZADO(A),30/04/2020,S/D
29/04/2020,MUJER,15-17 AÑOS,MEXICANA,29/04/2020,CIUDAD DE MEXICO,IZTACALCO,LOCALIZADO(A),02/05/2020,CIUDAD DE MEXICO
29/04/2020,HOMBRE,10-14 AÑOS,MEXICANA,26/04/2020,CIUDAD DE MEXICO,CUAUHTEMOC,LOCALIZADO(A),29/04/2020,S/D
29/04/2020,HOMBRE,20-24 AÑOS,MEXICANA,23/04/2020,CIUDAD DE MEXICO,GUSTAVO A. MADERO,LOCALIZADO(A),09/08/2022,CIUDAD DE MEXICO
